Model	Shot	Accuracy	Precision	Recall	F1	p-value
covamnet	5	0.5222	0.6193	0.5222	0.5346	1.90e-17
covamnet	1	0.6667	0.8068	0.6667	0.6679	7.34e-51
protonet	5	0.9356	0.9420	0.9356	0.9352	9.85e-162
protonet	1	0.9244	0.9270	0.9244	0.9243	6.79e-156
cosine	5	0.9644	0.9679	0.9644	0.9643	2.02e-177
cosine	1	0.9511	0.9564	0.9511	0.9506	4.34e-170
covamnet	1	0.6289	0.7221	0.6289	0.6170	2.31e-40
protonet	1	0.9289	0.9306	0.9289	0.9288	3.23e-158
cosine	1	0.9778	0.9792	0.9778	0.9778	6.58e-185
covamnet	5	0.6111	0.7950	0.6111	0.5392	7.47e-36
protonet	5	0.9311	0.9348	0.9311	0.9318	2.20e-159
cosine	5	0.9778	0.9792	0.9778	0.9778	6.58e-185
