Model	Shot	Accuracy	Precision	Recall	F1	p-value
covamnet	5	0.6044	0.7948	0.6044	0.5391	3.11e-34
protonet	5	0.9689	0.9689	0.9689	0.9689	6.72e-180
cosine	5	0.9800	0.9803	0.9800	0.9800	3.59e-186
covamnet	1	0.8444	0.8658	0.8444	0.8445	4.66e-117
protonet	1	0.9356	0.9446	0.9356	0.9350	9.85e-162
cosine	1	0.9778	0.9782	0.9778	0.9776	6.58e-185
covamnet	1	0.7378	0.7422	0.7378	0.7275	5.16e-74
protonet	1	0.9267	0.9399	0.9267	0.9258	4.71e-157
cosine	1	0.9711	0.9734	0.9711	0.9711	3.82e-181
covamnet	5	0.8244	0.8460	0.8244	0.8206	3.16e-108
protonet	5	0.9911	0.9913	0.9911	0.9911	1.49e-192
cosine	5	0.9778	0.9792	0.9778	0.9778	6.58e-185
